timestamp,deployment,movable,target_node,replicas,ready_replicas,available_replicas
2026-04-17T20:01:17.483448+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:01:17.483448+00:00,user-service,true,,1,1,1
2026-04-17T20:01:32.755292+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:32.755292+00:00,db-service,false,,1,1,1
2026-04-17T20:01:32.755292+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:32.755292+00:00,loadgen,false,,1,1,1
2026-04-17T20:01:32.755292+00:00,logger-service,true,,1,1,1
2026-04-17T20:01:32.755292+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:01:32.755292+00:00,user-service,true,,1,1,1
2026-04-17T20:01:48.016867+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:48.016867+00:00,db-service,false,,1,1,1
2026-04-17T20:01:48.016867+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:01:48.016867+00:00,loadgen,false,,1,1,1
2026-04-17T20:01:48.016867+00:00,logger-service,true,,1,1,1
2026-04-17T20:01:48.016867+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:01:48.016867+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:03.254160+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:03.254160+00:00,db-service,false,,1,1,1
2026-04-17T20:02:03.254160+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:03.254160+00:00,loadgen,false,,1,1,1
2026-04-17T20:02:03.254160+00:00,logger-service,true,,1,1,1
2026-04-17T20:02:03.254160+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:02:03.254160+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:18.520547+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:18.520547+00:00,db-service,false,,1,1,1
2026-04-17T20:02:18.520547+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:18.520547+00:00,loadgen,false,,1,1,1
2026-04-17T20:02:18.520547+00:00,logger-service,true,,1,1,1
2026-04-17T20:02:18.520547+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:02:18.520547+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
